,mean,min,max,rms,std
AB01,-1.8999999999999999,-4.0300000000000002,1.23,2.5116229812613198,1.7560507639912593
AG01,-0.71916666666666673,-1.9199999999999999,0.34000000000000002,1.0242924387107424,0.7617976148955875
BA01,0.055833333333333339,-0.55000000000000004,0.54000000000000004,0.30893634727345803,0.31736008608901062
BA02,-0.13999999999999999,-0.68000000000000005,0.28000000000000003,0.32865889105068602,0.31057132104324359
BC01,0.31900000000000001,-0.54000000000000004,1.0,0.59792139951669232,0.53307181088063127
BD01,-1.46875,-2.8300000000000001,0.11,1.7956788409957944,1.1043994812954749
BF01,0.21599999999999997,-1.8300000000000001,1.0700000000000001,0.83387049354201281,0.84897585360244499
BI02,0.029166666666666646,-1.23,0.73999999999999999,0.64325344927174699,0.67116531405301239
BI01,-0.11333333333333329,-1.5,0.93000000000000005,0.79907237886606164,0.82616675989264732
BM01,-0.64333333333333342,-1.1499999999999999,0.37,0.79872815567417343,0.49442957644199031
BM02,-0.57250000000000001,-1.25,0.5,0.77228556894454536,0.541380810352733
BN01,-0.58333333333333337,-1.3700000000000001,-0.089999999999999997,0.76550636836018549,0.51774569632263112
BS02,-1.4924999999999999,-3.6899999999999999,0.42999999999999999,2.0907534527055072,1.5652270487969835
CJ01,-0.5714285714285714,-1.8100000000000001,0.44,1.0603234008007718,0.96473534490775537
CP01,0.047272727272727237,-1.3600000000000001,0.93999999999999995,0.71482992255628053,0.74807875132356094
DC01,-0.55777777777777782,-1.6399999999999999,0.46999999999999997,0.92573094243293919,0.78364178324311196
DJ01,-0.51749999999999996,-1.21,0.33000000000000002,0.68450103481782032,0.46795736013988609
DK01,-1.4157142857142857,-2.2000000000000002,0.0,1.6069803092401953,0.82127659049508872
DMF1,-0.29916666666666664,-1.3400000000000001,0.56999999999999995,0.59860253925288365,0.54153751374016457
ET01,-1.3908333333333334,-4.0599999999999996,0.28999999999999998,1.9024742661422078,1.3557920082730126
GS01,0.042500000000000017,-0.58999999999999997,0.45000000000000001,0.35975686233899695,0.38190312907856616
JA01,-2.1099999999999999,-3.1699999999999999,0.0,2.2193092018313565,0.75357813131751661
JC01,0.0088888888888888837,-0.80000000000000004,0.34999999999999998,0.31689465477067019,0.33598528406927458
JS06,-0.26166666666666666,-1.04,0.5,0.52864606937597358,0.4797695153704411
JT04,-0.11833333333333336,-1.3200000000000001,0.45000000000000001,0.5354437412091021,0.54542449412166916
KO01,-0.52166666666666661,-1.6000000000000001,0.28999999999999998,0.73901962084913553,0.54673964775223904
MF02,-0.46444444444444433,-1.24,0.40000000000000002,0.76605772918523862,0.64616389389827245
MM01,-0.43916666666666654,-2.5,1.1399999999999999,1.2364970683345755,1.2072768631272714
MW01,-0.067499999999999977,-0.71999999999999997,0.56000000000000005,0.43874821936960612,0.46345750306026678
NL01,0.10500000000000002,-0.52000000000000002,0.51000000000000001,0.28728615235220323,0.27930107573922969
PF01,-0.46875,-0.83999999999999997,0.0,0.52049255518210835,0.2418640409108273
PM02,-0.26749999999999996,-2.73,0.73999999999999999,1.0317703232793622,1.0652933868188612
PM03,-0.56124999999999992,-4.3799999999999999,1.05,1.8068307889783148,1.8360317263054036
PW01,-0.79714285714285715,-1.51,0.02,0.94946601534005115,0.55712698390086624
RA01,0.16499999999999992,-1.04,2.52,1.1109567948394752,1.1744907711125581
RM02,-0.40583333333333332,-1.4399999999999999,0.56999999999999995,0.67298464568913707,0.5607212617097137
RM04,-1.0155555555555558,-1.5800000000000001,0.37,1.1962998509292448,0.6706360993696785
SJ01,0.11300000000000003,-1.3799999999999999,0.93999999999999995,0.6466915802761003,0.67118551831814721
TA14,2.1544444444444446,0.0,2.96,2.2577102461466474,0.71594537345930076
TA15,2.5591666666666666,1.6599999999999999,3.6800000000000002,2.6216836193560811,0.59442039505774513
TS01,-0.38750000000000012,-1.54,2.0499999999999998,0.9697723100467105,0.92851910441989671
